"Sample Number","Language","Time","Number of Recursive Calls","Number of Transitions","Number of Compares"
239,java 1.8.0_25,00.553,352,893,1987
240,java 1.8.0_25,00.514,355,912,1997
241,java 1.8.0_25,00.482,358,913,2006
242,java 1.8.0_25,00.464,361,937,2016
243,java 1.8.0_25,00.448,364,924,2025
244,java 1.8.0_25,00.423,364,940,2036
245,java 1.8.0_25,00.412,364,933,2046
246,java 1.8.0_25,00.520,364,950,2055
247,java 1.8.0_25,00.462,364,934,2067
248,java 1.8.0_25,00.505,364,961,2076
249,java 1.8.0_25,00.485,364,954,2087
250,java 1.8.0_25,00.473,364,958,2094
251,java 1.8.0_25,00.491,364,951,2102
252,java 1.8.0_25,00.495,364,959,2114
253,java 1.8.0_25,00.467,364,941,2124
254,java 1.8.0_25,00.482,364,960,2134
255,java 1.8.0_25,00.457,364,955,2147
256,java 1.8.0_25,00.481,364,964,2156
257,java 1.8.0_25,00.464,364,986,2164
258,java 1.8.0_25,00.493,364,950,2177
259,java 1.8.0_25,00.549,364,976,2184
260,java 1.8.0_25,00.563,364,1021,2193
261,java 1.8.0_25,00.568,364,975,2201
262,java 1.8.0_25,00.472,364,995,2214
263,java 1.8.0_25,00.427,364,1021,2220
264,java 1.8.0_25,00.418,364,1015,2233
265,java 1.8.0_25,00.404,364,1011,2239
266,java 1.8.0_25,00.400,364,996,2245
267,java 1.8.0_25,00.390,364,1016,2256
268,java 1.8.0_25,00.391,364,1008,2265
269,java 1.8.0_25,00.401,364,1035,2274
270,java 1.8.0_25,00.430,364,993,2284
271,java 1.8.0_25,00.423,364,1031,2296
272,java 1.8.0_25,00.403,364,1011,2302
273,java 1.8.0_25,00.437,364,1049,2309
274,java 1.8.0_25,00.467,364,1029,2317
275,java 1.8.0_25,00.452,364,1050,2333
276,java 1.8.0_25,00.444,364,1034,2339
277,java 1.8.0_25,00.463,364,1037,2359
278,java 1.8.0_25,00.476,364,1048,2364
279,java 1.8.0_25,00.487,364,1058,2374
280,java 1.8.0_25,00.595,364,1035,2382
281,java 1.8.0_25,00.533,364,1039,2393
282,java 1.8.0_25,00.623,364,1066,2404
283,java 1.8.0_25,00.548,364,1037,2413
284,java 1.8.0_25,00.580,364,1073,2419
285,java 1.8.0_25,00.559,364,1071,2430
286,java 1.8.0_25,00.566,364,1057,2441
287,java 1.8.0_25,00.584,364,1073,2449
288,java 1.8.0_25,00.514,364,1069,2457
289,java 1.8.0_25,00.510,364,1070,2470
290,java 1.8.0_25,00.590,364,1082,2472
291,java 1.8.0_25,00.708,364,1070,2488
292,java 1.8.0_25,00.708,364,1095,2495
293,java 1.8.0_25,00.598,364,1113,2506
294,java 1.8.0_25,00.556,364,1118,2522
295,java 1.8.0_25,00.536,364,1103,2520
296,java 1.8.0_25,00.458,364,1128,2527
297,java 1.8.0_25,00.489,364,1108,2531
298,java 1.8.0_25,00.565,364,1120,2546
299,java 1.8.0_25,00.456,364,1071,2561
300,java 1.8.0_25,00.424,364,1091,2556
301,java 1.8.0_25,00.441,364,1127,2571
302,java 1.8.0_25,00.441,364,1099,2585
303,java 1.8.0_25,00.427,364,1119,2588
304,java 1.8.0_25,00.433,364,1105,2606
305,java 1.8.0_25,00.471,364,1093,2601
306,java 1.8.0_25,00.463,364,1153,2618
307,java 1.8.0_25,00.436,364,1102,2624
308,java 1.8.0_25,00.502,364,1162,2635
309,java 1.8.0_25,00.467,364,1129,2648
310,java 1.8.0_25,00.477,364,1159,2651
311,java 1.8.0_25,00.493,364,1162,2668
312,java 1.8.0_25,00.480,364,1121,2674
313,java 1.8.0_25,00.481,364,1133,2679
314,java 1.8.0_25,00.480,364,1165,2685
315,java 1.8.0_25,00.462,364,1174,2694
316,java 1.8.0_25,00.453,364,1157,2705
317,java 1.8.0_25,00.480,364,1143,2706
318,java 1.8.0_25,00.493,364,1165,2719
319,java 1.8.0_25,00.466,364,1167,2731
320,java 1.8.0_25,00.507,364,1157,2727
321,java 1.8.0_25,00.530,364,1172,2741
322,java 1.8.0_25,00.582,364,1217,2747
323,java 1.8.0_25,00.588,364,1174,2761
324,java 1.8.0_25,00.495,364,1189,2766
325,java 1.8.0_25,00.443,364,1162,2779
326,java 1.8.0_25,00.419,364,1181,2787
327,java 1.8.0_25,00.387,364,1180,2797
328,java 1.8.0_25,00.387,364,1218,2808
329,java 1.8.0_25,00.384,364,1190,2819
330,java 1.8.0_25,00.395,364,1224,2821
331,java 1.8.0_25,00.390,364,1223,2835
332,java 1.8.0_25,00.386,364,1230,2851
333,java 1.8.0_25,00.398,364,1212,2862
334,java 1.8.0_25,00.437,364,1213,2870
335,java 1.8.0_25,00.490,364,1240,2877
336,java 1.8.0_25,00.698,364,1218,2887
337,java 1.8.0_25,00.712,364,1264,2885
338,java 1.8.0_25,00.610,364,1240,2908
339,java 1.8.0_25,00.531,364,1253,2916
340,java 1.8.0_25,00.445,364,1205,2923
341,java 1.8.0_25,00.456,364,1262,2929
342,java 1.8.0_25,00.449,364,1267,2951
343,java 1.8.0_25,00.600,364,1268,2955
344,java 1.8.0_25,00.588,364,1232,2965
345,java 1.8.0_25,00.488,364,1271,2976
346,java 1.8.0_25,00.549,364,1251,2993
347,java 1.8.0_25,00.560,364,1244,2988
348,java 1.8.0_25,00.680,364,1243,2996
349,java 1.8.0_25,00.572,364,1291,3012
350,java 1.8.0_25,00.509,364,1281,3016
351,java 1.8.0_25,00.502,364,1278,3022
352,java 1.8.0_25,00.525,364,1268,3035
353,java 1.8.0_25,00.518,364,1306,3049
354,java 1.8.0_25,00.540,364,1331,3053
355,java 1.8.0_25,00.654,364,1277,3060
356,java 1.8.0_25,00.574,364,1291,3080
357,java 1.8.0_25,00.585,364,1326,3084
358,java 1.8.0_25,00.605,364,1318,3093
359,java 1.8.0_25,00.781,364,1296,3093
360,java 1.8.0_25,01.303,364,1324,3116
361,java 1.8.0_25,00.743,364,1320,3130
362,java 1.8.0_25,00.657,364,1312,3127
363,java 1.8.0_25,00.529,364,1312,3142
364,java 1.8.0_25,00.482,364,1329,3156
365,java 1.8.0_25,00.851,364,1326,3171
366,java 1.8.0_25,00.994,364,1330,3176
367,java 1.8.0_25,01.280,364,1352,3182
368,java 1.8.0_25,00.816,364,1332,3190
369,java 1.8.0_25,00.832,364,1358,3203
370,java 1.8.0_25,00.877,364,1358,3214
371,java 1.8.0_25,00.783,364,1356,3219
372,java 1.8.0_25,00.716,364,1336,3217
373,java 1.8.0_25,00.617,364,1374,3240
374,java 1.8.0_25,00.502,364,1366,3248
375,java 1.8.0_25,00.570,364,1357,3263
376,java 1.8.0_25,00.560,364,1332,3268
377,java 1.8.0_25,00.514,364,1345,3278
378,java 1.8.0_25,00.621,364,1375,3275
379,java 1.8.0_25,00.652,364,1372,3286
380,java 1.8.0_25,00.573,364,1343,3300
381,java 1.8.0_25,00.544,364,1363,3308
382,java 1.8.0_25,00.504,364,1344,3317
383,java 1.8.0_25,00.460,364,1393,3327
384,java 1.8.0_25,00.487,364,1410,3328
385,java 1.8.0_25,00.469,364,1411,3342
386,java 1.8.0_25,00.450,364,1421,3345
387,java 1.8.0_25,00.568,364,1443,3371
388,java 1.8.0_25,00.713,364,1384,3363
389,java 1.8.0_25,00.772,364,1404,3380
390,java 1.8.0_25,00.705,364,1394,3388
391,java 1.8.0_25,00.923,364,1419,3402
392,java 1.8.0_25,00.868,364,1407,3407
393,java 1.8.0_25,00.786,364,1402,3421
394,java 1.8.0_25,00.600,364,1417,3426
395,java 1.8.0_25,00.426,364,1447,3440
396,java 1.8.0_25,00.439,364,1392,3429
397,java 1.8.0_25,00.520,364,1404,3454
398,java 1.8.0_25,00.632,364,1421,3453
399,java 1.8.0_25,00.685,364,1429,3467
400,java 1.8.0_25,00.531,364,1458,3458
401,java 1.8.0_25,00.538,364,1464,3483
402,java 1.8.0_25,00.548,364,1413,3484
403,java 1.8.0_25,00.610,364,1473,3503
404,java 1.8.0_25,00.546,364,1474,3496
405,java 1.8.0_25,00.887,364,1455,3511
406,java 1.8.0_25,00.588,364,1450,3519
407,java 1.8.0_25,00.556,364,1474,3529
408,java 1.8.0_25,00.676,364,1473,3532
409,java 1.8.0_25,00.714,364,1495,3547
410,java 1.8.0_25,00.601,364,1478,3554
411,java 1.8.0_25,00.613,364,1496,3574
412,java 1.8.0_25,00.613,364,1493,3575
413,java 1.8.0_25,00.473,364,1497,3576
414,java 1.8.0_25,00.471,364,1489,3604
415,java 1.8.0_25,00.490,364,1495,3601
416,java 1.8.0_25,00.531,364,1525,3606
417,java 1.8.0_25,00.477,364,1504,3620
418,java 1.8.0_25,00.518,364,1522,3618
419,java 1.8.0_25,00.699,364,1524,3634
420,java 1.8.0_25,00.732,364,1496,3647
421,java 1.8.0_25,00.585,364,1507,3647
422,java 1.8.0_25,00.598,364,1489,3654
423,java 1.8.0_25,01.318,364,1553,3671
424,java 1.8.0_25,01.215,364,1566,3673
425,java 1.8.0_25,01.016,364,1516,3672
426,java 1.8.0_25,00.544,364,1526,3690
427,java 1.8.0_25,00.524,364,1563,3708
428,java 1.8.0_25,00.663,364,1529,3707
429,java 1.8.0_25,00.738,364,1495,3719
430,java 1.8.0_25,00.661,364,1547,3712
431,java 1.8.0_25,00.590,364,1559,3729
432,java 1.8.0_25,00.575,364,1528,3735
433,java 1.8.0_25,00.470,364,1543,3747
434,java 1.8.0_25,00.473,364,1576,3752
435,java 1.8.0_25,00.486,364,1562,3761
436,java 1.8.0_25,00.461,364,1556,3778
437,java 1.8.0_25,00.423,364,1601,3790
438,java 1.8.0_25,00.452,364,1577,3794
439,java 1.8.0_25,00.461,364,1613,3797
440,java 1.8.0_25,00.508,364,1575,3810
441,java 1.8.0_25,00.470,364,1583,3820
442,java 1.8.0_25,00.457,364,1574,3824
443,java 1.8.0_25,00.473,364,1579,3840
444,java 1.8.0_25,00.452,364,1617,3847
445,java 1.8.0_25,00.564,364,1604,3860
446,java 1.8.0_25,00.480,364,1612,3865
447,java 1.8.0_25,00.556,364,1584,3873
448,java 1.8.0_25,00.579,364,1605,3888
449,java 1.8.0_25,00.469,364,1616,3898
450,java 1.8.0_25,00.484,364,1646,3902
451,java 1.8.0_25,00.458,364,1609,3908
452,java 1.8.0_25,00.513,364,1624,3921
453,java 1.8.0_25,00.528,364,1582,3919
454,java 1.8.0_25,00.482,364,1602,3936
